gridId;methodeId;nbClues;timeFound;timeEnd;v_0;v_1;v_2;v_3;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;v_13;v_14;v_15;16
2_2:0123321020311302;0;4;0.0424796;0.251969;-1;-1;-1;3;-1;-1;1;-1;-1;-1;-1;-1;1;-1;0;-1;16
2_2:0123321020311302;1;4;0.0050474000000000005;0.1270501;-1;-1;2;-1;3;-1;-1;-1;-1;-1;-1;-1;1;3;-1;-1;16
2_2:0123321020311302;2;4;0.44655930000000005;0.4606373;0;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;1;-1;3;-1;-1;16
2_2:0123321020311302;3;4;0.0053783;0.5029498;-1;-1;-1;3;-1;2;-1;-1;2;-1;-1;-1;-1;-1;0;-1;16
2_2:2301012330121230;0;4;0.0048846;0.07952050000000001;-1;-1;-1;-1;-1;1;2;-1;-1;-1;-1;-1;1;-1;-1;0;16
2_2:2301012330121230;0;5;0.0027655;0.07952050000000001;2;-1;-1;-1;0;1;-1;-1;-1;-1;-1;-1;1;-1;-1;0;16
2_2:2301012330121230;1;4;0.0037767;0.0665939;2;-1;-1;-1;-1;1;-1;-1;-1;0;1;-1;-1;-1;-1;-1;16
2_2:2301012330121230;2;4;0.24345290000000003;0.2474818;2;3;-1;-1;-1;-1;-1;-1;-1;0;-1;-1;-1;-1;3;-1;16
2_2:2301012330121230;3;4;0.48396290000000003;0.5003580000000001;2;-1;-1;-1;-1;-1;-1;3;-1;0;-1;-1;-1;-1;3;-1;16
2_2:2301012330121230;3;5;0.3001881;0.5003580000000001;2;-1;-1;-1;-1;-1;-1;3;-1;0;-1;-1;-1;-1;3;0;16
2_2:2301012330121230;3;6;0.12679790000000002;0.5003580000000001;2;3;-1;-1;-1;-1;2;-1;3;0;-1;-1;-1;-1;-1;0;16
2_2:2301012330121230;3;7;0.11117210000000001;0.5003580000000001;2;-1;-1;-1;-1;-1;2;3;3;0;-1;-1;-1;2;-1;0;16
2_2:2301012330121230;3;8;0.0466051;0.5003580000000001;2;-1;-1;-1;0;-1;2;3;-1;0;1;-1;-1;2;-1;0;16
2_2:2301012330121230;3;9;0.019465200000000002;0.5003580000000001;2;3;-1;-1;0;-1;2;-1;-1;0;-1;2;-1;2;3;0;16
2_2:2301012330121230;3;10;0.0021984;0.5003580000000001;2;-1;0;1;0;-1;2;-1;3;0;-1;2;-1;2;-1;0;16
2_2:0321123031022013;0;4;0.0039234000000000005;0.0929201;-1;-1;-1;-1;-1;-1;3;0;-1;1;-1;-1;-1;-1;-1;3;16
2_2:0321123031022013;1;4;0.0031221;0.0640617;0;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;3;16
2_2:0321123031022013;2;4;0.23563530000000002;0.24688200000000002;-1;3;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;3;16
2_2:0321123031022013;3;4;0.0028079000000000003;0.5000157000000001;-1;-1;2;-1;1;-1;-1;-1;-1;-1;-1;2;-1;0;-1;-1;16
2_2:0123320123101032;0;4;0.002532;0.06040450000000001;-1;-1;-1;3;-1;-1;-1;-1;-1;3;-1;0;1;-1;-1;-1;16
