gridId;methodeId;nbClues;timeFound;timeEnd;v_0;v_1;v_2;v_3;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;v_13;v_14;v_15;v_16;v_17;v_18;v_19;v_20;v_21;v_22;v_23;v_24;25
5_1:2104340312341201320402431;0;6;0.42731040000000003;4.2357779;-1;-1;-1;4;-1;4;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;3;2;-1;-1;-1;2;-1;-1;-1;25
5_1:2104340312341201320402431;0;7;0.12181700000000001;4.2357779;2;-1;-1;4;-1;4;-1;-1;1;2;-1;-1;-1;2;-1;-1;3;-1;-1;-1;-1;-1;-1;-1;-1;25
5_1:2104340312341201320402431;0;8;0.0804445;4.2357779;-1;-1;-1;4;-1;-1;-1;-1;1;2;3;-1;-1;-1;-1;1;3;-1;-1;-1;-1;-1;4;-1;1;25
5_1:2104340312341201320402431;1;6;0.028769000000000003;3.1474701;-1;-1;-1;-1;-1;-1;-1;3;1;-1;-1;4;-1;-1;0;-1;-1;-1;-1;4;-1;-1;-1;3;-1;25
5_1:2104340312341201320402431;1;7;0.007625600000000001;3.1474701;-1;-1;0;-1;3;-1;-1;-1;-1;2;-1;4;1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;3;-1;25
5_1:2104340312341201320402431;1;8;0.0053863;3.1474701;-1;-1;0;-1;3;-1;0;-1;-1;-1;-1;4;1;-1;0;-1;-1;-1;-1;-1;-1;2;-1;3;-1;25
5_1:2104340312341201320402431;2;6;28.4293902;29.772473700000003;2;-1;-1;-1;-1;4;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;0;-1;-1;-1;-1;3;-1;25
5_1:2104340312341201320402431;3;8;0.0044818;0.5004443000000001;-1;1;-1;-1;-1;-1;-1;-1;-1;2;3;-1;-1;-1;0;1;-1;-1;0;-1;-1;2;4;-1;-1;25
5_1:1240340132043212301431240;0;7;0.5030514;7.1179608000000005;-1;-1;4;-1;-1;-1;0;-1;-1;2;-1;-1;3;-1;1;2;-1;-1;-1;-1;-1;-1;-1;4;-1;25
5_1:1240340132043212301431240;0;8;0.007470500000000001;7.1179608000000005;-1;-1;4;-1;-1;-1;0;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;1;-1;-1;-1;2;4;0;25
5_1:1240340132043212301431240;0;9;0.0040282;7.1179608000000005;-1;2;-1;-1;-1;-1;0;1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;1;-1;-1;-1;2;4;0;25
5_1:1240340132043212301431240;1;7;0.0107968;6.8510343;1;-1;-1;-1;-1;-1;0;-1;-1;-1;0;-1;3;-1;-1;-1;-1;-1;1;4;-1;-1;-1;4;-1;25
5_1:1240340132043212301431240;1;8;0.0033616;6.8510343;1;-1;-1;-1;-1;-1;0;-1;3;-1;0;4;-1;-1;-1;-1;3;-1;-1;4;-1;-1;-1;4;-1;25
5_1:1240340132043212301431240;2;7;95.48151460000001;95.75466580000001;-1;2;4;-1;-1;-1;-1;1;-1;-1;0;-1;-1;2;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;25
5_1:1240340132043212301431240;3;8;0.003775;0.5003243;1;-1;-1;-1;-1;4;-1;-1;-1;2;-1;-1;3;2;-1;-1;3;0;-1;-1;-1;-1;-1;4;-1;25
5_1:2341031042401230423112304;0;7;0.0294786;6.9763691;-1;-1;-1;1;-1;3;-1;0;-1;-1;-1;-1;-1;2;3;0;-1;-1;-1;-1;-1;2;-1;-1;-1;25
5_1:2341031042401230423112304;0;8;0.0049549;6.9763691;-1;-1;-1;1;-1;-1;-1;0;-1;2;-1;0;-1;-1;3;-1;-1;2;-1;-1;1;2;-1;-1;-1;25
5_1:2341031042401230423112304;0;9;0.0034322000000000003;6.9763691;-1;-1;-1;1;-1;-1;-1;0;-1;2;-1;0;1;-1;3;-1;-1;2;-1;1;-1;2;-1;-1;-1;25
5_1:2341031042401230423112304;1;7;0.0373036;7.4549336;-1;-1;4;1;-1;-1;1;-1;4;-1;-1;0;-1;-1;3;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;25
5_1:2341031042401230423112304;1;8;0.011597000000000001;7.4549336;-1;-1;4;1;-1;-1;1;-1;-1;2;4;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1;-1;25
5_1:2341031042401230423112304;1;9;0.00315;7.4549336;-1;-1;4;1;-1;-1;1;-1;-1;-1;4;0;1;-1;-1;0;4;-1;-1;-1;-1;-1;3;-1;-1;25
